pl_bmasse	pl_rade	pl_eqt	pl_orbper	st_teff	st_mass	st_met	Stellar_Compatibility_Index
0.630102171	-0.036321704	-0.127045165	-0.005310056	0.144578344	0.22760935	0.064521661	0.144578344
-0.142035099	-0.058742987	1.551620893	-0.005495306	-0.184985	-0.285746207	1.081621614	-0.184985
-0.310923489	-0.036321704	-0.127045165	-0.005491382	0.144578344	-1.530549549	0.064521661	0.144578344
-0.142035099	-0.054392589	2.469477801	-0.005496089	-0.689332736	-0.607851654	0.971007155	-0.689332736
-0.142035099	-0.015908296	-1.509065454	-0.005439581	0.341474016	0.251096205	0.860392696	0.341474016
-0.142035099	-0.037994934	-0.852954811	-0.005489518	-0.432420737	-0.456864725	-0.632902505	-0.432420737
-0.142035099	-0.034983119	2.465987851	-0.005495505	0.279351852	0.214188289	0.971007155	0.279351852
-0.142035099	-0.03113469	-1.201949834	-0.005482464	-0.212360868	-0.309233062	-0.688209735	-0.212360868
-0.142035099	-0.037275445	-0.127045165	-0.00548176	0.229864704	-0.487062111	-2.126197705	0.229864704
-0.142035099	-0.042178009	-0.83550506	-0.005480142	0.573115982	0.137017193	-0.909438653	0.573115982
-0.142035099	-0.036321704	-0.127045165	-0.005491486	0.112137939	0.147082988	-2.323091443	0.112137939
-0.142035099	-0.036321704	-0.127045165	-0.005493658	-1.08838867	-0.839364944	0.064521661	-1.08838867
0.216567848	0.193956079	3.23028695	-0.005495394	0.741582867	1.039583497	1.94994512	0.741582867
-0.142035099	-0.01390042	-0.127045165	-0.00526554	-0.135497852	-0.188443519	0.417934858	-0.135497852
-0.419997621	-0.031302013	-0.127045165	-0.005473509	0.144578344	-0.154890869	0.064521661	0.144578344
-0.142035099	-0.036321704	-0.127045165	-0.005449178	-0.722131133	-0.591075328	-0.766192928	-0.722131133
-0.142035099	0.109751286	-0.36087183	-0.005495258	-1.743303685	-1.285615198	0.749778236	-1.743303685
-0.142035099	-0.036321704	-0.127045165	-0.005494195	-1.134717063	-0.859496534	0.064521661	-1.134717063
-0.142035099	-0.04334927	0.665173536	-0.0054961	-1.841225061	-1.429891596	0.307320399	-1.841225061
-0.142035099	-0.036321704	-0.127045165	-0.005489519	0.284616442	0.281293591	0.064521661	0.284616442
-0.411754502	-0.052886682	-1.084687506	-0.005485295	-0.817788736	-0.456864725	0.694471007	-0.817788736
-0.142035099	-0.055061881	-0.127045165	-0.005492794	0.708942408	0.885241304	1.413464992	0.708942408
-0.142035099	-0.036321704	-0.127045165	-0.005475034	-1.051536539	-0.825943883	0.064521661	-1.051536539
-0.142035099	-0.023103186	-0.196844169	-0.005491374	0.026651524	-0.185088254	0.19670594	0.026651524
-0.142035099	-0.058742987	-0.409731133	-0.005495431	-1.87386552	-1.527194284	0.064521661	-1.87386552
0.162301474	0.176701724	-0.127045165	-0.005495808	0.025598606	-0.054232917	-0.079830208	0.025598606
-0.142035099	-0.036321704	-0.127045165	-0.005472235	-1.6390648	-1.247589979	0.064521661	-1.6390648
0.850028004	-0.036321704	-0.127045165	-0.004743155	-0.037576475	0.046425036	1.192236073	-0.037576475
-0.415625824	-0.036321704	-0.127045165	-0.005491382	0.144578344	-1.899628707	0.064521661	0.144578344
-0.142035099	-0.033979181	-0.793625658	-0.005478551	0.612073949	0.576556917	0.639163777	0.612073949
-0.142035099	-0.052602233	-0.127045165	-0.005491352	-0.453479097	-0.480351581	-0.135137438	-0.453479097
-0.142035099	-0.036321704	-0.127045165	-0.005490851	-0.946244736	-0.748772787	0.378113653	-0.946244736
-0.142035099	-0.04000281	-1.502085553	-0.00549181	-1.994951094	-1.631207501	0.860392696	-1.994951094
-0.142035099	-0.051046129	0.026512645	-0.005491745	0.582592245	-0.027390796	-2.126197705	0.582592245
-0.142035099	0.313048746	1.296854526	-0.005495225	0.121414147	0.103464542	0.473242088	0.121414147
-0.142035099	-0.003844307	-0.127045165	-0.005491382	0.337262343	0.045203719	0.064521661	0.337262343
-0.383197981	-0.036321704	-0.476040187	-0.005492193	-0.516654179	-0.319298857	1.026314384	-0.516654179
-0.142035099	0.517182821	-1.659133313	-0.005491124	-2.062337848	-1.899628707	-0.301059127	-2.062337848
-0.142035099	-0.036321704	-0.127045165	-0.005494908	0.181714763	0.180635639	0.717700043	0.181714763
-0.142035099	-0.060416217	-0.127045165	-0.005493434	0.144578344	0.043069771	0.064521661	0.144578344
-0.142035099	-0.048870929	3.54089252	-0.005496187	-0.423997392	-0.470285786	0.860392696	-0.423997392
-0.142035099	-0.056484127	-0.127045165	-0.005491382	-0.198672934	0.045203719	0.064521661	-0.198672934
-0.142035099	0.012268899	-0.127045165	-0.005475502	0.644714408	0.308135711	-0.411673586	0.644714408
-0.142035099	0.097704029	-1.714972517	-0.005378061	0.297251458	0.277938326	0.749778236	0.297251458
-0.142035099	-0.045658328	-0.127045165	-0.005491382	0.375167393	0.045203719	0.064521661	0.375167393
-0.142035099	-0.050209514	-0.127045165	-0.00549371	-0.036523557	-0.154890869	0.064521661	-0.036523557
-0.142035099	-0.055061881	-0.127045165	-0.005493614	0.144578344	0.045203719	0.064521661	0.144578344
-0.142035099	-0.040504779	-1.198459884	-0.005480454	-0.263953852	-0.285746207	0.860392696	-0.263953852
0.210956957	0.20652255	-0.127045165	-0.005494953	0.762641228	1.120109859	0.14139871	0.762641228
-0.142035099	-0.047030376	-0.127045165	-0.005494282	0.038233623	-0.154890869	0.064521661	0.038233623
-0.142035099	-0.036489027	-1.76732177	-0.005485264	-1.841225061	-1.429891596	0.307320399	-1.841225061
-0.142035099	-0.055731173	0.27080916	-0.005490493	0.55837513	0.455767375	0.417934858	0.55837513
-0.142035099	-0.039668164	0.145170952	-0.005491671	0.642608572	0.398727868	0.064521661	0.642608572
-0.142035099	-0.049707545	-0.127045165	-0.005494866	0.666825687	0.6839254	0.749778236	0.666825687
-0.293843673	0.163385507	-0.127045165	-0.005494472	-0.079693197	-0.054232917	-0.577595275	-0.079693197
-0.142035099	-0.052485107	-0.127045165	-0.005491382	0.387802409	0.045203719	0.064521661	0.387802409
0.723735174	-0.036321704	-0.127045165	-0.005137217	0.475194605	0.214188289	-0.743516964	0.475194605
-0.142035099	-0.054559912	2.123972729	-0.005494843	0.843715916	0.425569989	-0.466980816	0.843715916
-0.142035099	-0.036321704	-0.127045165	-0.005494355	-0.067595168	-0.020680266	-0.079830208	-0.067595168
-0.020156585	0.203521713	3.373374909	-0.005495227	0.667878605	0.995965051	1.358157762	0.667878605
