Feature Name,Total Records,Null Count,Null Percentage
st_spectype (Host Star Type),39119,36253,92.67%
pl_bmasse (Planet Mass),39119,32083,82.01%
pl_eqt (Equilibrium Temp),39119,21971,56.16%
pl_orbsmax (Semi-Major Axis),39119,17187,43.94%
st_met (Host Star Metallicity),39119,14360,36.71%
pl_rade (Planet Radius),39119,12130,31.01%
st_logg (Host Star Gravity),39119,8705,22.25%
st_mass (Host Star Mass),39119,6038,15.43%
st_teff (Host Star Temp),39119,3425,8.76%
pl_orbper (Orbital Period),39119,3271,8.36%
st_rad (Host Star Radius),39119,3190,8.15%
